Definition,Hiragana,Casual,Polite,Casual Negative,Polite Negative,Casual Past,Polite Past,Casual Past Negative,Polite Past Negative,Te,Polite Te ,Negative Te,Command Negative Te,Polite Negative Te,I form,Casual Conditional,Polite Conditional,Casual Conditional Negative,Polite Conditional Negative,Casual Provisional,Casual Contextual ,Polite Contextual,Polite Provisional ば,Casual Provisional Negative ば,Casual Provisional Negative ち,Casual Provisional Negative き,Polite Provisional Negative,Casual Potential,Polite Potential,Casual Potential Negative,Polite Potential Negative,Casual Passive,Polite Passive,Casual Passive Negative,Polite Passive Negative,Casual Causative,Polite Causative,Polite (Slang) Causative,Casual Causative Negative,Casual (Slang) Causative Negative,Polite Causative Negative,Polite (Slang) Causative Negative,Casual Causative Passive,Polite Causative Passive,Casual Causative Passive Negative,Polite Causative Passive Negative,Volitional,Polite Volitional,Volitional Negative,Polite Volitional Negative,Conjectural,Polite Conjectural,Conjectural Negative,Polite Conjectural Negative,Alternative,Polite Alternative,Alternative Negative,Polite Alternative Negative,Imperative,Polite Imperative,Imperative Negative,Polite Imperative Negative,Casual Respectful,Polite Respectful,Casual Humble,Polite Humble,,,,,,,,,
to associate with,つきあう,付き合う,付き合います,付き合わない,付き合いません,付き合った,付き合いました,付き合わなかった,付き合いませんでした,付き合って,付き合いまして,付き合わなくて,付き合わないで,付き合いませんで,付き合い,付き合ったら,付き合いましたら,付き合わなかったら,付き合いませんでしたら,付き合えば,付き合うなら,付き合いますなら,付き合いませば,付き合わなければ,付き合わなくちゃ,付き合わなきゃ,付き合いませんなら,付き合える,付き合えます,付き合えない,付き合えません,付き合われる,付き合われます,付き合われない,付き合われません,付き合わせる,付き合わせます,付き合わします,付き合わせない,付き合わさない,付き合わせません,付き合わしません,付き合わせられる,付き合わせられます,付き合わせられない,付き合わせられません,付き合おう,付き合いましょう,付き合うまい,付き合いますまい,付き合うだろう,付き合うでしょう,付き合わないだろう,付き合わないでしょう,付き合ったり,付き合いましたり,付き合わなかったり,付き合いませんでしたり,付き合え,付き合いなさい,付き合うな,付き合いなさるな,お付き合いになる,お付き合いになります,お付き合いする,お付き合いします,付き合わず＋に,付き合わぬ,,付き合わされません,付き合わされない,付き合わされる,付き合わす,,付き合わされます
to attack,おそう,襲う,襲います,襲わない,襲いません,襲った,襲いました,襲わなかった,襲いませんでした,襲って,襲いまして,襲わなくて,襲わないで,襲いませんで,襲い,襲ったら,襲いましたら,襲わなかったら,襲いませんでしたら,襲えば,襲うなら,襲いますなら,襲いませば,襲わなければ,襲わなくちゃ,襲わなきゃ,襲いませんなら,襲える,襲えます,襲えない,襲えません,襲われる,襲われます,襲われない,襲われません,襲わせる,襲わせます,襲わします,襲わせない,襲わさない,襲わせません,襲わしません,襲わせられる,襲わせられます,襲わせられない,襲わせられません,襲おう,襲いましょう,襲うまい,襲いますまい,襲うだろう,襲うでしょう,襲わないだろう,襲わないでしょう,襲ったり,襲いましたり,襲わなかったり,襲いませんでしたり,襲え,襲いなさい,襲うな,襲いなさるな,お襲いになる,お襲いになります,お襲いする,お襲いします,襲わず＋に,襲わぬ,,襲わされません,襲わされない,襲わされる,襲わす,,襲わされます
to banter,ひやかす,冷やかす,冷やかします,冷やかさない,冷やかしません,冷やかした,冷やかしました,冷やかさなかった,冷やかしませんでした,冷やかして,冷やかしまして,冷やかさなくて,冷やかさないで,冷やかしませんで,冷やかし,冷やかしたら,冷やかしましたら,冷やかさなかったら,冷やかしませんでしたら,冷やかせば,冷やかすなら,冷やかしますなら,冷やかしませば,冷やかさなければ,冷やかさなくちゃ,冷やかさなきゃ,冷やかしませんなら,冷やかせる,冷やかせます,冷やかせない,冷やかせません,冷やかされる,冷やかされます,冷やかされない,冷やかされません,冷やかさせる,冷やかさせます,冷やかさします,冷やかさせない,冷やかささない,冷やかさせません,冷やかさしません,冷やかさせられる,冷やかさせられます,冷やかさせられない,冷やかさせられません,冷やかそう,冷やかしましょう,冷やかすまい,冷やかしますまい,冷やかすだろう,冷やかすでしょう,冷やかさないだろう,冷やかさないでしょう,冷やかしたり,冷やかしましたり,冷やかさなかったり,冷やかしませんでしたり,冷やかせ,冷やかしなさい,冷やかすな,冷やかしなさるな,お冷やかしになる,お冷やかしになります,お冷やかしする,お冷やかしします,冷やかさず＋に,冷やかさぬ,,冷やかさされません,冷やかさされない,冷やかさされる,冷やかさす,,冷やかさされます
to be,おいでになる,お出でになる,お出でになります,お出でにならない,お出でになりません,お出でになった,お出でになりました,お出でにならなかった,お出でになりませんでした,お出でになって,お出でになりまして,お出でにならなくて,お出でにならないで,お出でになりませんで,お出でになり,お出でになったら,お出でになりましたら,お出でにならなかったら,お出でになりませんでしたら,お出でになれば,お出でになるなら,お出でになりますなら,お出でになりませば,お出でにならなければ,お出でにならなくちゃ,お出でにならなきゃ,お出でになりませんなら,お出でになれる,お出でになれます,お出でになれない,お出でになれません,お出でになられる,お出でになられます,お出でになられない,お出でになられません,お出でにならせる,お出でにならせます,お出でにならします,お出でにならせない,お出でにならさない,お出でにならせません,お出でにならしません,お出でにならせられる,お出でにならせられます,お出でにならせられない,お出でにならせられません,お出でになろう,お出でになりましょう,お出でになるまい,お出でになりますまい,お出でになるだろう,お出でになるでしょう,お出でにならないだろう,お出でにならないでしょう,お出でになったり,お出でになりましたり,お出でにならなかったり,お出でになりませんでしたり,お出でになれ,お出でになりなさい,お出でになるな,お出でになりなさるな,おお出でになりになる,おお出でになりになります,おお出でになりする,おお出でになりします,お出でにならず＋に,お出でにならぬ,,お出でにならされません,お出でにならされない,お出でにならされる,お出でにならす,,お出でにならされます
to be,ございます,ご座います,ご座いまします,ご座いまさない,ご座いましません,ご座いました,ご座いましました,ご座いまさなかった,ご座いましませんでした,ご座いまして,ご座いましまして,ご座いまさなくて,ご座いまさないで,ご座いましませんで,ご座いまし,ご座いましたら,ご座いましましたら,ご座いまさなかったら,ご座いましませんでしたら,ご座いませば,ご座いますなら,ご座いましますなら,ご座いましませば,ご座いまさなければ,ご座いまさなくちゃ,ご座いまさなきゃ,ご座いましませんなら,ご座いませる,ご座いませます,ご座いませない,ご座いませません,ご座いまされる,ご座いまされます,ご座いまされない,ご座いまされません,ご座いまさせる,ご座いまさせます,ご座いまさします,ご座いまさせない,ご座いまささない,ご座いまさせません,ご座いまさしません,ご座いまさせられる,ご座いまさせられます,ご座いまさせられない,ご座いまさせられません,ご座いまそう,ご座いましましょう,ご座いますまい,ご座いましますまい,ご座いますだろう,ご座いますでしょう,ご座いまさないだろう,ご座いまさないでしょう,ご座いましたり,ご座いましましたり,ご座いまさなかったり,ご座いましませんでしたり,ご座いませ,ご座いましなさい,ご座いますな,ご座いましなさるな,おご座いましになる,おご座いましになります,おご座いましする,おご座いましします,ご座いまさず＋に,ご座いまさぬ,,ご座いまさされません,ご座いまさされない,ご座いまさされる,ご座いまさす,,ご座いまさされます
"to be at peace;  to clamp down;  to lessen (storm, terror, anger)",おさまる,治まる,治まります,治まらない,治まりません,治まった,治まりました,治まらなかった,治まりませんでした,治まって,治まりまして,治まらなくて,治まらないで,治まりませんで,治まり,治まったら,治まりましたら,治まらなかったら,治まりませんでしたら,治まれば,治まるなら,治まりますなら,治まりませば,治まらなければ,治まらなくちゃ,治まらなきゃ,治まりませんなら,治まれる,治まれます,治まれない,治まれません,治まられる,治まられます,治まられない,治まられません,治まらせる,治まらせます,治まらします,治まらせない,治まらさない,治まらせません,治まらしません,治まらせられる,治まらせられます,治まらせられない,治まらせられません,治まろう,治まりましょう,治まるまい,治まりますまい,治まるだろう,治まるでしょう,治まらないだろう,治まらないでしょう,治まったり,治まりましたり,治まらなかったり,治まりませんでしたり,治まれ,治まりなさい,治まるな,治まりなさるな,お治まりになる,お治まりになります,お治まりする,お治まりします,治まらず＋に,治まらぬ,,治まらされません,治まらされない,治まらされる,治まらす,,治まらされます
to be bulky,かさばる,嵩張る,嵩張ります,嵩張らない,嵩張りません,嵩張った,嵩張りました,嵩張らなかった,嵩張りませんでした,嵩張って,嵩張りまして,嵩張らなくて,嵩張らないで,嵩張りませんで,嵩張り,嵩張ったら,嵩張りましたら,嵩張らなかったら,嵩張りませんでしたら,嵩張れば,嵩張るなら,嵩張りますなら,嵩張りませば,嵩張らなければ,嵩張らなくちゃ,嵩張らなきゃ,嵩張りませんなら,嵩張れる,嵩張れます,嵩張れない,嵩張れません,嵩張られる,嵩張られます,嵩張られない,嵩張られません,嵩張らせる,嵩張らせます,嵩張らします,嵩張らせない,嵩張らさない,嵩張らせません,嵩張らしません,嵩張らせられる,嵩張らせられます,嵩張らせられない,嵩張らせられません,嵩張ろう,嵩張りましょう,嵩張るまい,嵩張りますまい,嵩張るだろう,嵩張るでしょう,嵩張らないだろう,嵩張らないでしょう,嵩張ったり,嵩張りましたり,嵩張らなかったり,嵩張りませんでしたり,嵩張れ,嵩張りなさい,嵩張るな,嵩張りなさるな,お嵩張りになる,お嵩張りになります,お嵩張りする,お嵩張りします,嵩張らず＋に,嵩張らぬ,,嵩張らされません,嵩張らされない,嵩張らされる,嵩張らす,,嵩張らされます
to be burdened with,せおう,背負う,背負います,背負わない,背負いません,背負った,背負いました,背負わなかった,背負いませんでした,背負って,背負いまして,背負わなくて,背負わないで,背負いませんで,背負い,背負ったら,背負いましたら,背負わなかったら,背負いませんでしたら,背負えば,背負うなら,背負いますなら,背負いませば,背負わなければ,背負わなくちゃ,背負わなきゃ,背負いませんなら,背負える,背負えます,背負えない,背負えません,背負われる,背負われます,背負われない,背負われません,背負わせる,背負わせます,背負わします,背負わせない,背負わさない,背負わせません,背負わしません,背負わせられる,背負わせられます,背負わせられない,背負わせられません,背負おう,背負いましょう,背負うまい,背負いますまい,背負うだろう,背負うでしょう,背負わないだろう,背負わないでしょう,背負ったり,背負いましたり,背負わなかったり,背負いませんでしたり,背負え,背負いなさい,背負うな,背負いなさるな,お背負いになる,お背負いになります,お背負いする,お背負いします,背負わず＋に,背負わぬ,,背負わされません,背負わされない,背負わされる,背負わす,,背負わされます
to be buried,うずまる,埋まる,埋まります,埋まらない,埋まりません,埋まった,埋まりました,埋まらなかった,埋まりませんでした,埋まって,埋まりまして,埋まらなくて,埋まらないで,埋まりませんで,埋まり,埋まったら,埋まりましたら,埋まらなかったら,埋まりませんでしたら,埋まれば,埋まるなら,埋まりますなら,埋まりませば,埋まらなければ,埋まらなくちゃ,埋まらなきゃ,埋まりませんなら,埋まれる,埋まれます,埋まれない,埋まれません,埋まられる,埋まられます,埋まられない,埋まられません,埋まらせる,埋まらせます,埋まらします,埋まらせない,埋まらさない,埋まらせません,埋まらしません,埋まらせられる,埋まらせられます,埋まらせられない,埋まらせられません,埋まろう,埋まりましょう,埋まるまい,埋まりますまい,埋まるだろう,埋まるでしょう,埋まらないだろう,埋まらないでしょう,埋まったり,埋まりましたり,埋まらなかったり,埋まりませんでしたり,埋まれ,埋まりなさい,埋まるな,埋まりなさるな,お埋まりになる,お埋まりになります,お埋まりする,お埋まりします,埋まらず＋に,埋まらぬ,,埋まらされません,埋まらされない,埋まらされる,埋まらす,,埋まらされます
to be careful,つつしむ,慎む,慎みます,慎まない,慎みません,慎んだ,慎みました,慎まなかった,慎みませんでした,慎んで,慎みまして,慎まなくて,慎まないで,慎みませんで,慎み,慎んだら,慎みましたら,慎まなかったら,慎みませんでしたら,慎めば,慎むなら,慎みますなら,慎みませば,慎まなければ,慎まなくちゃ,慎まなきゃ,慎みませんなら,慎める,慎めます,慎めない,慎めません,慎まれる,慎まれます,慎まれない,慎まれません,慎ませる,慎ませます,慎まします,慎ませない,慎まさない,慎ませません,慎ましません,慎ませられる,慎ませられます,慎ませられない,慎ませられません,慎もう,慎みましょう,慎むまい,慎みますまい,慎むだろう,慎むでしょう,慎まないだろう,慎まないでしょう,慎んだり,慎みましたり,慎まなかったり,慎みませんでしたり,慎め,慎みなさい,慎むな,慎みなさるな,お慎みになる,お慎みになります,お慎みする,お慎みします,慎まず＋に,慎まぬ,,慎まされません,慎まされない,慎まされる,慎ます,,慎まされます
to be connected or related,むすびつく,結び付く,結び付きます,結び付かない,結び付きません,結び付いた,結び付きました,結び付かなかった,結び付きませんでした,結び付いて,結び付きまして,結び付かなくて,結び付かないで,結び付きませんで,結び付き,結び付いたら,結び付きましたら,結び付かなかったら,結び付きませんでしたら,結び付けば,結び付くなら,結び付きますなら,結び付きませば,結び付かなければ,結び付かなくちゃ,結び付かなきゃ,結び付きませんなら,結び付ける,結び付けます,結び付けない,結び付けません,結び付かれる,結び付かれます,結び付かれない,結び付かれません,結び付かせる,結び付かせます,結び付かします,結び付かせない,結び付かさない,結び付かせません,結び付かしません,結び付かせられる,結び付かせられます,結び付かせられない,結び付かせられません,結び付こう,結び付きましょう,結び付くまい,結び付きますまい,結び付くだろう,結び付くでしょう,結び付かないだろう,結び付かないでしょう,結び付いたり,結び付きましたり,結び付かなかったり,結び付きませんでしたり,結び付け,結び付きなさい,結び付くな,結び付きなさるな,お結び付きになる,お結び付きになります,お結び付きする,お結び付きします,結び付かず＋に,結び付かぬ,,結び付かされません,結び付かされない,結び付かされる,結び付かす,,結び付かされます
to be crowded,こむ,混む,混みます,混まない,混みません,混んだ,混みました,混まなかった,混みませんでした,混んで,混みまして,混まなくて,混まないで,混みませんで,混み,混んだら,混みましたら,混まなかったら,混みませんでしたら,混めば,混むなら,混みますなら,混みませば,混まなければ,混まなくちゃ,混まなきゃ,混みませんなら,混める,混めます,混めない,混めません,混まれる,混まれます,混まれない,混まれません,混ませる,混ませます,混まします,混ませない,混まさない,混ませません,混ましません,混ませられる,混ませられます,混ませられない,混ませられません,混もう,混みましょう,混むまい,混みますまい,混むだろう,混むでしょう,混まないだろう,混まないでしょう,混んだり,混みましたり,混まなかったり,混みませんでしたり,混め,混みなさい,混むな,混みなさるな,お混みになる,お混みになります,お混みする,お混みします,混まず＋に,混まぬ,,混まされません,混まされない,混まされる,混ます,,混まされます
to be decided,きまる,決まる,決まります,決まらない,決まりません,決まった,決まりました,決まらなかった,決まりませんでした,決まって,決まりまして,決まらなくて,決まらないで,決まりませんで,決まり,決まったら,決まりましたら,決まらなかったら,決まりませんでしたら,決まれば,決まるなら,決まりますなら,決まりませば,決まらなければ,決まらなくちゃ,決まらなきゃ,決まりませんなら,決まれる,決まれます,決まれない,決まれません,決まられる,決まられます,決まられない,決まられません,決まらせる,決まらせます,決まらします,決まらせない,決まらさない,決まらせません,決まらしません,決まらせられる,決まらせられます,決まらせられない,決まらせられません,決まろう,決まりましょう,決まるまい,決まりますまい,決まるだろう,決まるでしょう,決まらないだろう,決まらないでしょう,決まったり,決まりましたり,決まらなかったり,決まりませんでしたり,決まれ,決まりなさい,決まるな,決まりなさるな,お決まりになる,お決まりになります,お決まりする,お決まりします,決まらず＋に,決まらぬ,,決まらされません,決まらされない,決まらされる,決まらす,,決まらされます
to be distant,へだたる,隔たる,隔たります,隔たらない,隔たりません,隔たった,隔たりました,隔たらなかった,隔たりませんでした,隔たって,隔たりまして,隔たらなくて,隔たらないで,隔たりませんで,隔たり,隔たったら,隔たりましたら,隔たらなかったら,隔たりませんでしたら,隔たれば,隔たるなら,隔たりますなら,隔たりませば,隔たらなければ,隔たらなくちゃ,隔たらなきゃ,隔たりませんなら,隔たれる,隔たれます,隔たれない,隔たれません,隔たられる,隔たられます,隔たられない,隔たられません,隔たらせる,隔たらせます,隔たらします,隔たらせない,隔たらさない,隔たらせません,隔たらしません,隔たらせられる,隔たらせられます,隔たらせられない,隔たらせられません,隔たろう,隔たりましょう,隔たるまい,隔たりますまい,隔たるだろう,隔たるでしょう,隔たらないだろう,隔たらないでしょう,隔たったり,隔たりましたり,隔たらなかったり,隔たりませんでしたり,隔たれ,隔たりなさい,隔たるな,隔たりなさるな,お隔たりになる,お隔たりになります,お隔たりする,お隔たりします,隔たらず＋に,隔たらぬ,,隔たらされません,隔たらされない,隔たらされる,隔たらす,,隔たらされます
